Jurisdiction,Mean_Covid,Mean_Total,Mean_Pneumonia,Mean_Influenza,Mean_Pneumonia_Influenza,Mean_Pneumonia_Influenza_Covid
Arizona,94.0,780.0,89.0,0.0,89.0,128.0
Louisiana,55.0,550.0,47.0,0.0,47.0,74.0
Ohio,127.0,1398.0,117.0,3.0,120.0,186.0
Texas,178.0,2395.0,223.0,9.0,231.0,314.0
Rhode Island,28.0,144.0,18.0,0.0,18.0,33.0
Kansas,49.0,415.0,40.0,1.0,41.0,68.0
Iowa,54.0,488.0,41.0,1.0,42.0,76.0
New Jersey,91.0,888.0,84.0,1.0,85.0,131.0
Tennessee,60.0,739.0,71.0,2.0,73.0,101.0
Wisconsin,55.0,658.0,44.0,1.0,45.0,81.0
Alabama,52.0,571.0,44.0,0.0,44.0,78.0
California,228.0,3112.0,299.0,7.0,306.0,404.0
Delaware,24.0,162.0,19.0,0.0,19.0,31.0
Mississippi,45.0,387.0,45.0,0.0,45.0,67.0
New York City,148.0,769.0,103.0,5.0,109.0,195.0
North Dakota,20.0,92.0,15.0,0.0,15.0,25.0
Illinois,102.0,1230.0,110.0,2.0,112.0,161.0
Colorado,51.0,519.0,47.0,1.0,47.0,72.0
Hawaii,15.0,178.0,18.0,0.0,18.0,25.0
New Mexico,46.0,343.0,41.0,0.0,42.0,61.0
South Carolina,66.0,615.0,56.0,0.0,56.0,93.0
Washington,49.0,702.0,59.0,1.0,61.0,80.0
Idaho,36.0,258.0,27.0,0.0,27.0,44.0
Arkansas,45.0,443.0,45.0,0.0,45.0,68.0
West Virginia,49.0,402.0,50.0,0.0,50.0,73.0
Connecticut,64.0,531.0,47.0,0.0,48.0,89.0
Indiana,62.0,761.0,70.0,1.0,71.0,102.0
Maine,22.0,249.0,20.0,0.0,20.0,36.0
Maryland,53.0,602.0,53.0,1.0,54.0,85.0
Massachusetts,60.0,797.0,65.0,2.0,67.0,102.0
Oregon,44.0,631.0,40.0,1.0,41.0,67.0
Florida,134.0,2032.0,192.0,5.0,197.0,248.0
Georgia,87.0,946.0,80.0,1.0,81.0,124.0
New Hampshire,20.0,181.0,15.0,0.0,15.0,27.0
South Dakota,28.0,144.0,20.0,0.0,20.0,35.0
Vermont,3.0,34.0,3.0,0.0,3.0,4.0
Alaska,14.0,68.0,10.0,0.0,10.0,16.0
District of Columbia,14.0,65.0,13.0,0.0,13.0,17.0
Minnesota,47.0,588.0,46.0,1.0,47.0,76.0
Nevada,52.0,395.0,58.0,0.0,58.0,72.0
Michigan,79.0,1075.0,88.0,2.0,89.0,128.0
Pennsylvania,103.0,1426.0,104.0,3.0,107.0,165.0
Missouri,64.0,714.0,60.0,1.0,61.0,96.0
North Carolina,89.0,1052.0,98.0,2.0,99.0,142.0
Montana,29.0,166.0,21.0,0.0,21.0,35.0
Nebraska,34.0,288.0,29.0,0.0,29.0,48.0
Kentucky,56.0,597.0,66.0,1.0,67.0,95.0
New York,98.0,1111.0,113.0,2.0,115.0,171.0
Utah,30.0,274.0,24.0,0.0,25.0,40.0
Virginia,56.0,780.0,54.0,1.0,54.0,86.0
Wyoming,16.0,68.0,11.0,0.0,11.0,18.0
Oklahoma,52.0,489.0,53.0,1.0,54.0,83.0
