Year,Month,Jurisdiction,Covid_Deaths,Total_Deaths,Pneumonia_Deaths,Influenza_Deaths,Pneumonia_Influenza_Deaths,Pneumonia_Influenza_Covid
2019,12,California,0.0,11730.0,1227.0,92.0,1319.0,1417.0
2019,12,Florida,0.0,8480.0,492.0,66.0,750.0,801.0
2019,12,Georgia,0.0,3626.0,224.0,38.0,347.0,390.0
2019,12,New York,0.0,6638.0,686.0,46.0,749.0,820.0
2019,12,North Carolina,0.0,3960.0,250.0,8.0,366.0,409.0
2019,12,Wyoming,0.0,374.0,33.0,0.0,32.0,46.0
2020,1,California,456.0,46204.0,4788.0,516.0,5304.0,5696.0
2020,1,Florida,0.0,34304.0,2541.0,277.0,3015.0,3219.0
2020,1,Georgia,0.0,14298.0,874.0,124.0,1023.0,1066.0
2020,1,New York,244.0,27028.0,2605.0,227.0,2963.0,3320.0
2020,1,North Carolina,0.0,15590.0,1431.0,76.0,1550.0,1722.0
2020,1,Wyoming,0.0,950.0,120.0,0.0,120.0,183.0
2020,2,California,912.0,45776.0,4745.0,587.0,5339.0,5735.0
2020,2,Florida,0.0,33944.0,2652.0,236.0,2901.0,3054.0
2020,2,Georgia,174.0,14272.0,872.0,69.0,1063.0,1196.0
2020,2,New York,854.0,25816.0,2553.0,258.0,3044.0,3547.0
2020,2,North Carolina,178.0,15944.0,1184.0,193.0,1588.0,1760.0
2020,2,Wyoming,0.0,1019.0,123.0,0.0,123.0,186.0
2020,3,California,2078.0,56890.0,6405.0,423.0,7142.0,8084.0
2020,3,Florida,1283.0,43164.0,4400.0,199.0,4634.0,5143.0
2020,3,Georgia,1167.0,18266.0,1459.0,26.0,1610.0,2090.0
2020,3,New York,13156.0,55658.0,9877.0,786.0,11105.0,18085.0
2020,3,North Carolina,906.0,19874.0,1375.0,151.0,1548.0,1663.0
2020,3,Wyoming,32.0,1391.0,170.0,0.0,176.0,246.0
2020,4,California,3998.0,47496.0,5962.0,63.0,6006.0,7920.0
2020,4,Florida,2502.0,35160.0,3623.0,60.0,3671.0,4914.0
