Year,Month,Jurisdiction,Covid_Deaths,Total_Deaths,Pneumonia_Deaths,Influenza_Deaths,Pneumonia_Influenza_Deaths,Pneumonia_Influenza_Covid
2019,12,Alabama,0.0,2196.0,134.0,0.0,144.0,144.0
2019,12,Alaska,0.0,248.0,30.0,0.0,40.0,64.0
2019,12,Arizona,0.0,2556.0,166.0,0.0,174.0,174.0
2019,12,Arkansas,0.0,1831.0,114.0,0.0,126.0,126.0
2019,12,California,0.0,11730.0,1227.0,92.0,1319.0,1417.0
2019,12,Colorado,0.0,2191.0,94.0,3.0,104.0,104.0
2019,12,Connecticut,0.0,1804.0,108.0,0.0,110.0,151.0
2019,12,Delaware,0.0,575.0,49.0,0.0,49.0,73.0
2019,12,Florida,0.0,8480.0,492.0,66.0,750.0,801.0
2019,12,Georgia,0.0,3626.0,224.0,38.0,347.0,390.0
2019,12,Hawaii,0.0,655.0,64.0,0.0,68.0,75.0
2019,12,Idaho,0.0,810.0,89.0,0.0,92.0,126.0
2019,12,Illinois,0.0,4522.0,401.0,8.0,408.0,457.0
2019,12,Indiana,0.0,2890.0,305.0,16.0,331.0,362.0
2019,12,Iowa,0.0,1814.0,148.0,3.0,155.0,223.0
2019,12,Kansas,0.0,1616.0,135.0,4.0,193.0,247.0
2019,12,Kentucky,0.0,2783.0,186.0,12.0,206.0,206.0
2019,12,Louisiana,0.0,1860.0,106.0,0.0,158.0,185.0
2019,12,Maine,0.0,895.0,44.0,0.0,44.0,44.0
2019,12,Maryland,0.0,2725.0,180.0,15.0,257.0,288.0
2019,12,Massachusetts,0.0,2430.0,242.0,6.0,194.0,194.0
2019,12,Michigan,0.0,4124.0,317.0,19.0,341.0,380.0
2019,12,Minnesota,0.0,2570.0,162.0,3.0,138.0,138.0
2019,12,Mississippi,0.0,1728.0,122.0,0.0,170.0,192.0
2019,12,Missouri,0.0,3239.0,211.0,3.0,222.0,257.0
2019,12,Montana,0.0,631.0,50.0,0.0,52.0,66.0
2019,12,Nebraska,0.0,974.0,75.0,0.0,114.0,152.0
2019,12,Nevada,0.0,1402.0,137.0,0.0,143.0,157.0
2019,12,New Hampshire,0.0,532.0,50.0,0.0,52.0,64.0
2019,12,New Jersey,0.0,3282.0,152.0,3.0,164.0,164.0
2019,12,New Mexico,0.0,1206.0,97.0,10.0,84.0,84.0
2019,12,New York,0.0,6638.0,686.0,46.0,749.0,820.0
2019,12,North Carolina,0.0,3960.0,250.0,8.0,366.0,409.0
2019,12,North Dakota,0.0,284.0,45.0,0.0,45.0,75.0
2019,12,Ohio,0.0,5116.0,390.0,24.0,421.0,487.0
2019,12,Oklahoma,0.0,1858.0,215.0,3.0,230.0,259.0
2019,12,Oregon,0.0,2104.0,118.0,13.0,106.0,106.0
2019,12,Pennsylvania,0.0,5544.0,438.0,33.0,475.0,533.0
2019,12,Rhode Island,0.0,591.0,46.0,0.0,48.0,63.0
2019,12,South Carolina,0.0,2206.0,174.0,15.0,259.0,296.0
2019,12,South Dakota,0.0,494.0,34.0,0.0,55.0,70.0
2019,12,Tennessee,0.0,3116.0,311.0,47.0,358.0,386.0
2019,12,Texas,0.0,8478.0,612.0,92.0,926.0,1009.0
2019,12,Utah,0.0,1017.0,65.0,0.0,67.0,82.0
2019,12,Vermont,0.0,235.0,9.0,0.0,9.0,12.0
2019,12,Virginia,0.0,3690.0,293.0,0.0,312.0,384.0
2019,12,Washington,0.0,2366.0,160.0,14.0,242.0,261.0
2019,12,West Virginia,0.0,1369.0,129.0,0.0,92.0,92.0
2019,12,Wisconsin,0.0,2242.0,164.0,3.0,168.0,204.0
2019,12,Wyoming,0.0,374.0,33.0,0.0,32.0,46.0
2020,1,Alabama,104.0,9318.0,671.0,16.0,791.0,929.0
2020,1,Alaska,0.0,1068.0,120.0,0.0,120.0,192.0
2020,1,Arizona,0.0,10202.0,804.0,24.0,1059.0,1215.0
2020,1,Arkansas,0.0,5765.0,540.0,0.0,474.0,497.0
2020,1,California,456.0,46204.0,4788.0,516.0,5304.0,5696.0
2020,1,Colorado,0.0,7156.0,404.0,51.0,490.0,490.0
2020,1,Connecticut,0.0,7266.0,565.0,11.0,594.0,799.0
2020,1,Delaware,0.0,2175.0,219.0,0.0,196.0,280.0
